date,host,type_instance,value
2022-02-20 16:53:00+00:00,10.95.161.205,user,0.8753576531491869
2022-02-20 16:53:00+00:00,10.95.161.205,system,0.32015697543167904
2022-02-20 16:53:00+00:00,10.95.161.205,wait,0.0
2022-02-20 16:53:00+00:00,10.95.161.205,nice,0.0
2022-02-20 16:53:00+00:00,10.95.161.205,interrupt,0.0
2022-02-20 16:53:00+00:00,10.95.161.205,softirq,0.016516229035014714
2022-02-20 16:53:00+00:00,10.95.161.205,steal,0.0
2022-02-20 16:53:00+00:00,10.95.161.205,idle,98.78796914238413
2022-02-20 16:53:00+00:00,10.95.161.206,user,1.2028861482857813
2022-02-20 16:53:00+00:00,10.95.161.206,system,0.3815270851363394
2022-02-20 16:53:00+00:00,10.95.161.206,wait,0.08873034153156723
2022-02-20 16:53:00+00:00,10.95.161.206,nice,0.0
2022-02-20 16:53:00+00:00,10.95.161.206,interrupt,0.0
2022-02-20 16:53:00+00:00,10.95.161.206,softirq,0.00887253608961364
2022-02-20 16:53:00+00:00,10.95.161.206,steal,0.0
2022-02-20 16:53:00+00:00,10.95.161.206,idle,98.31798388895672
2022-02-20 16:53:00+00:00,10.95.161.207,user,0.5684211633099252
2022-02-20 16:53:00+00:00,10.95.161.207,system,0.19793322835238236
2022-02-20 16:53:00+00:00,10.95.161.207,wait,0.0
2022-02-20 16:53:00+00:00,10.95.161.207,nice,0.0
2022-02-20 16:53:00+00:00,10.95.161.207,interrupt,0.0
2022-02-20 16:53:00+00:00,10.95.161.207,softirq,0.005075240704240798
2022-02-20 16:53:00+00:00,10.95.161.207,steal,0.0
2022-02-20 16:53:00+00:00,10.95.161.207,idle,99.22857036763344
2022-02-20 16:53:00+00:00,10.95.161.208,user,0.02912719720378906
2022-02-20 16:53:00+00:00,10.95.161.208,system,0.018995998176384175
2022-02-20 16:53:00+00:00,10.95.161.208,wait,0.0
2022-02-20 16:53:00+00:00,10.95.161.208,nice,0.0
2022-02-20 16:53:00+00:00,10.95.161.208,interrupt,0.0
2022-02-20 16:53:00+00:00,10.95.161.208,softirq,0.002532799756851223
2022-02-20 16:53:00+00:00,10.95.161.208,steal,0.0
2022-02-20 16:53:00+00:00,10.95.161.208,idle,99.94934400486298
2022-02-20 16:53:00+00:00,10.95.161.209,user,1.4104376938143068
2022-02-20 16:53:00+00:00,10.95.161.209,system,0.23359149428297477
2022-02-20 16:53:00+00:00,10.95.161.209,wait,0.0
2022-02-20 16:53:00+00:00,10.95.161.209,nice,0.0
2022-02-20 16:53:00+00:00,10.95.161.209,interrupt,0.0
2022-02-20 16:53:00+00:00,10.95.161.209,softirq,0.011426928025082893
2022-02-20 16:53:00+00:00,10.95.161.209,steal,0.0
2022-02-20 16:53:00+00:00,10.95.161.209,idle,98.34454388387763
2022-02-20 16:54:00+00:00,10.95.161.205,user,1.0196189309310246
2022-02-20 16:54:00+00:00,10.95.161.205,system,0.4462963722447051
2022-02-20 16:54:00+00:00,10.95.161.205,wait,0.0004235062933035185
2022-02-20 16:54:00+00:00,10.95.161.205,nice,0.0
2022-02-20 16:54:00+00:00,10.95.161.205,interrupt,0.0
2022-02-20 16:54:00+00:00,10.95.161.205,softirq,0.013127900373545283
2022-02-20 16:54:00+00:00,10.95.161.205,steal,0.0
2022-02-20 16:54:00+00:00,10.95.161.205,idle,98.52053329015742
2022-02-20 16:54:00+00:00,10.95.161.206,user,0.9808513103555053
2022-02-20 16:54:00+00:00,10.95.161.206,system,0.23705392693849384
2022-02-20 16:54:00+00:00,10.95.161.206,wait,0.0025406934408406454
2022-02-20 16:54:00+00:00,10.95.161.206,nice,0.0
2022-02-20 16:54:00+00:00,10.95.161.206,interrupt,0.0
2022-02-20 16:54:00+00:00,10.95.161.206,softirq,0.009737128895832989
2022-02-20 16:54:00+00:00,10.95.161.206,steal,0.0
2022-02-20 16:54:00+00:00,10.95.161.206,idle,98.76981694036932
2022-02-20 16:54:00+00:00,10.95.161.207,user,1.3013710415759654
2022-02-20 16:54:00+00:00,10.95.161.207,system,0.2499556560011824
2022-02-20 16:54:00+00:00,10.95.161.207,wait,0.0
2022-02-20 16:54:00+00:00,10.95.161.207,nice,0.0
2022-02-20 16:54:00+00:00,10.95.161.207,interrupt,0.0
2022-02-20 16:54:00+00:00,10.95.161.207,softirq,0.009725680076220019
2022-02-20 16:54:00+00:00,10.95.161.207,steal,0.0
2022-02-20 16:54:00+00:00,10.95.161.207,idle,98.43894762234663
2022-02-20 16:54:00+00:00,10.95.161.208,user,0.04306346675860708
2022-02-20 16:54:00+00:00,10.95.161.208,system,0.02448672521633773
2022-02-20 16:54:00+00:00,10.95.161.208,wait,0.0
2022-02-20 16:54:00+00:00,10.95.161.208,nice,0.0
2022-02-20 16:54:00+00:00,10.95.161.208,interrupt,0.0
2022-02-20 16:54:00+00:00,10.95.161.208,softirq,0.0029553608068926
2022-02-20 16:54:00+00:00,10.95.161.208,steal,0.0
2022-02-20 16:54:00+00:00,10.95.161.208,idle,99.92949444721818
2022-02-20 16:54:00+00:00,10.95.161.209,user,1.34099176351536
2022-02-20 16:54:00+00:00,10.95.161.209,system,0.2577015365869002
2022-02-20 16:54:00+00:00,10.95.161.209,wait,0.0008464211691546587
2022-02-20 16:54:00+00:00,10.95.161.209,nice,0.0
2022-02-20 16:54:00+00:00,10.95.161.209,interrupt,0.0
2022-02-20 16:54:00+00:00,10.95.161.209,softirq,0.00973308582013043
2022-02-20 16:54:00+00:00,10.95.161.209,steal,0.0
2022-02-20 16:54:00+00:00,10.95.161.209,idle,98.39072719290846
2022-02-20 16:55:00+00:00,10.95.161.205,user,1.1198701901898038
2022-02-20 16:55:00+00:00,10.95.161.205,system,0.42957393264033644
2022-02-20 16:55:00+00:00,10.95.161.205,wait,0.0
2022-02-20 16:55:00+00:00,10.95.161.205,nice,0.0
2022-02-20 16:55:00+00:00,10.95.161.205,interrupt,0.0
2022-02-20 16:55:00+00:00,10.95.161.205,softirq,0.015658948420496695
2022-02-20 16:55:00+00:00,10.95.161.205,steal,0.0
2022-02-20 16:55:00+00:00,10.95.161.205,idle,98.43489692874937
2022-02-20 16:55:00+00:00,10.95.161.206,user,1.1155014912279246
2022-02-20 16:55:00+00:00,10.95.161.206,system,0.24707497921378285
2022-02-20 16:55:00+00:00,10.95.161.206,wait,0.045266981893400914
2022-02-20 16:55:00+00:00,10.95.161.206,nice,0.0
