date,host,instance,type_instance,value
2022-02-20 16:53:00+00:00,10.95.161.205,node0,numa_hit,26045763224.0
2022-02-20 16:53:00+00:00,10.95.161.205,node0,numa_miss,0.0
2022-02-20 16:53:00+00:00,10.95.161.205,node0,numa_foreign,0.0
2022-02-20 16:53:00+00:00,10.95.161.205,node0,interleave_hit,60281.0
2022-02-20 16:53:00+00:00,10.95.161.205,node0,local_node,26045521025.0
2022-02-20 16:53:00+00:00,10.95.161.205,node0,other_node,242199.0
2022-02-20 16:53:00+00:00,10.95.161.205,node1,numa_hit,20819686094.0
2022-02-20 16:53:00+00:00,10.95.161.205,node1,numa_miss,0.0
2022-02-20 16:53:00+00:00,10.95.161.205,node1,numa_foreign,0.0
2022-02-20 16:53:00+00:00,10.95.161.205,node1,interleave_hit,60399.0
2022-02-20 16:53:00+00:00,10.95.161.205,node1,local_node,20819400945.0
2022-02-20 16:53:00+00:00,10.95.161.205,node1,other_node,285149.0
2022-02-20 16:53:00+00:00,10.95.161.206,node0,numa_hit,4189542637.5
2022-02-20 16:53:00+00:00,10.95.161.206,node0,numa_miss,0.0
2022-02-20 16:53:00+00:00,10.95.161.206,node0,numa_foreign,0.0
2022-02-20 16:53:00+00:00,10.95.161.206,node0,interleave_hit,60218.0
2022-02-20 16:53:00+00:00,10.95.161.206,node0,local_node,4189516834.0
2022-02-20 16:53:00+00:00,10.95.161.206,node0,other_node,25801.0
2022-02-20 16:53:00+00:00,10.95.161.206,node1,numa_hit,2484781292.5
2022-02-20 16:53:00+00:00,10.95.161.206,node1,numa_miss,0.0
2022-02-20 16:53:00+00:00,10.95.161.206,node1,numa_foreign,0.0
2022-02-20 16:53:00+00:00,10.95.161.206,node1,interleave_hit,60499.0
2022-02-20 16:53:00+00:00,10.95.161.206,node1,local_node,2484670107.5
2022-02-20 16:53:00+00:00,10.95.161.206,node1,other_node,111184.0
2022-02-20 16:53:00+00:00,10.95.161.207,node0,numa_hit,23796630494.0
2022-02-20 16:53:00+00:00,10.95.161.207,node0,numa_miss,0.0
2022-02-20 16:53:00+00:00,10.95.161.207,node0,numa_foreign,0.0
2022-02-20 16:53:00+00:00,10.95.161.207,node0,interleave_hit,60548.0
2022-02-20 16:53:00+00:00,10.95.161.207,node0,local_node,23796126428.0
2022-02-20 16:53:00+00:00,10.95.161.207,node0,other_node,504066.0
